"Date_Time","Usage_kW","Adults","Children","House"
2019-01-04 18:00:00,0.386594444433333,2,1,"House_1"
2019-01-04 19:00:00,0.366543333266667,2,1,"House_1"
2019-01-04 20:00:00,0.337961388933333,2,1,"House_1"
2019-01-04 21:00:00,0.37907611115,2,1,"House_1"
2019-01-04 22:00:00,0.4961027778,5,3,"House_1"
2019-01-04 23:00:00,0.65315222225,5,3,"House_1"
2019-01-05 00:00:00,0.418205833283333,5,3,"House_1"
2019-01-05 01:00:00,0.40217694445,5,3,"House_1"
2019-01-05 02:00:00,0.517217777816667,5,3,"House_1"
2019-01-05 03:00:00,0.51553222225,5,3,"House_1"
2019-01-05 04:00:00,0.58896666665,5,3,"House_1"
2019-01-05 05:00:00,0.405515000016667,5,3,"House_1"
2019-01-05 06:00:00,0.49496805555,5,3,"House_1"
2019-01-05 07:00:00,0.4553169445,2,1,"House_1"
2019-01-05 08:00:00,0.478424166683333,2,1,"House_1"
2019-01-05 09:00:00,0.462567499983333,2,1,"House_1"
2019-01-05 10:00:00,0.122401388866667,2,1,"House_1"
2019-01-05 11:00:00,0.346860555583333,2,1,"House_1"
2019-01-05 12:00:00,0.347956388916667,2,1,"House_1"
2019-01-05 13:00:00,0.412670555566667,2,1,"House_1"
2019-01-05 14:00:00,0.430373055583333,2,1,"House_1"
2019-01-05 15:00:00,0.36365166665,2,1,"House_1"
2019-01-05 16:00:00,0.927345555516667,4,2,"House_1"
2019-01-05 17:00:00,3.0258530556,4,2,"House_1"
2019-01-05 18:00:00,0.576680833316667,4,2,"House_1"
2019-01-05 19:00:00,0.44411861115,2,1,"House_1"
2019-01-05 20:00:00,1.39794027776667,4,2,"House_1"
2019-01-05 21:00:00,1.62132583336667,4,2,"House_1"
2019-01-05 22:00:00,1.87586277776667,5,3,"House_1"
2019-01-05 23:00:00,3.02876527775,5,3,"House_1"
2019-01-06 00:00:00,0.42891249995,5,3,"House_1"
2019-01-06 01:00:00,0.28404638885,5,3,"House_1"
2019-01-06 02:00:00,0.412090277816667,5,3,"House_1"
2019-01-06 03:00:00,0.339933888883333,5,3,"House_1"
2019-01-06 04:00:00,0.4484277778,5,3,"House_1"
2019-01-06 05:00:00,0.11209583335,5,3,"House_1"
2019-01-06 06:00:00,0.2689041667,5,3,"House_1"
2019-01-06 07:00:00,0.322898055566667,2,1,"House_1"
2019-01-06 08:00:00,0.43918333335,2,1,"House_1"
2019-01-06 09:00:00,0.577787499966667,4,2,"House_1"
2019-01-06 10:00:00,0.231088333266667,2,1,"House_1"
